"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0400000US27","Minnesota","5527358","*****","4606044","3540","342186","2773","58982","1202","262359","1685","2187","326","97833","3577","157767","3826","13309","1168","144458","3541"
"0400000US28","Mississippi","2988762","*****","1751193","2016","1125834","2304","13689","739","28313","831","707","205","28833","1738","40193","2362","3550","554","36643","2361"
"0400000US29","Missouri","6090062","*****","5008342","3253","704896","2524","26952","1077","116720","1479","6662","659","71162","3133","155328","3655","11364","1145","143964","3431"
"0400000US30","Montana","1041732","*****","925642","1128","4630","379","67289","1157","7947","472","757","171","6032","764","29435","1212","1798","320","27637","1159"
"0400000US31","Nebraska","1904760","*****","1666463","2861","90860","1359","17282","866","44105","900","1392","245","36058","2562","48600","1983","5440","809","43160","1743"
"0400000US32","Nevada","2922849","*****","1935103","5795","261123","2592","35845","1365","234693","2272","19352","634","296234","6291","140499","4035","23442","1673","117057","3640"
"0400000US33","New Hampshire","1343622","*****","1250014","1368","20516","952","2090","304","36124","772","359","150","6629","844","27890","1244","2657","498","25233","1115"
"0400000US34","New Jersey","8881845","*****","6031747","10067","1196764","4168","18649","1458","832403","2588","3357","458","567976","10632","230949","5331","53267","2419","177682","4428"
"0400000US35","New Mexico","2092434","*****","1558886","5209","43006","1312","199896","1672","31513","1132","1514","339","190111","4935","67508","2907","23752","1689","43756","2222"
"0400000US36","New York","19618453","*****","12514949","16549","3068099","7383","79644","2869","1630341","4603","8017","797","1718220","20125","599183","9680","146584","4441","452599","8151"
"0400000US37","North Carolina","10155624","*****","6994240","7853","2179622","5653","121352","1559","282264","1935","6939","674","307906","7857","263301","6193","27712","1949","235589","5679"
"0400000US38","North Dakota","752201","*****","655268","1118","20445","779","39462","725","10814","486","378","154","7528","977","18306","1197","1197","393","17109","1140"
"0400000US39","Ohio","11641879","*****","9489832","3876","1438271","4428","23563","1225","249741","2128","3591","434","109792","3911","327089","5261","26734","1775","300355","4987"
"0400000US40","Oklahoma","3918137","*****","2837772","3865","287959","1848","294676","2742","83392","1137","4471","545","106757","3398","303110","4246","15080","1240","288030","3957"
"0400000US41","Oregon","4081943","*****","3445933","4552","77789","1631","46961","2043","174510","1885","16006","668","127084","4467","193660","3900","20228","1851","173432","3455"
"0400000US42","Pennsylvania","12791181","*****","10341442","5470","1423319","5104","24847","1794","427892","2249","4107","445","258694","5426","310880","5951","38055","2177","272825","5473"
"0400000US44","Rhode Island","1056611","*****","854502","2988","69254","1803","5484","802","35663","889","863","307","58136","2932","32709","1977","7387","1141","25322","1864"
