state,state_abbreviation
Maine,ME
Vermont,VT
New Hampshire,NH
Massachusetts,MA
Rhode Island,RI
Connecticut,CT
New Jersey,NJ
New York,NY
Pennsylvania,PA
Puerto Rico,PR
US Virgin Islands,USVI
Maryland,MD
Delaware,DE
District of Columbia,DC
Virginia,VA
West Virginia,WV
Kentucky,KY
Tennessee,TN
North Carolina,NC
South Carolina,SC
Georgia,GA
Florida,FL
Alabama,AL
Mississippi,MI
Louisiana,LA
Arkansas,AR
Oklahoma,OK
Texas,TX
Ohio,OH
Michigan,MI
Indiana,IN
Illinois,IL
Wisconsin,WI
Missouri,MO
Kansas,KS
Iowa,IA
Nebraska,NB
Minnesota,MN
South Dakota,SD
North Dakota,ND
Montana,MT
Wyoming,WY
Colorado,CO
New Mexico,NM
Arizona,AZ
Utah,UT
Idaho,ID
Washington,WA
Oregon,OR
Nevada,NV
California,CA
Alaska,AK
Hawaii,HI
Guam,GU
American Samoa,AS
